category,name,price,currency,product_url,image_url,image_local_path,handle
fish,Wild Halibut Fillet,8.25,GBP,https://nottinghillfishshop.co.uk/products/halibut-fillet-200g,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/8f11b9a0-0549-4cd9-9465-e2bf1af9bbfe.jpg?v=1601630545,images/fish/halibut-fillet-200g-2.jpg,halibut-fillet-200g
fish,Hand Picked White Crab Meat - 150g,24.00,GBP,https://nottinghillfishshop.co.uk/products/crab-meat-white,https://cdn.shopify.com/s/files/1/0348/5109/4661/files/WhiteCrabMeatTopview.jpg?v=1686917237,images/fish/crab-meat-white-1.jpg,crab-meat-white
fish,Hand Picked White Crab Meat - 150g,24.00,GBP,https://nottinghillfishshop.co.uk/products/crab-meat-white,https://cdn.shopify.com/s/files/1/0348/5109/4661/files/WhiteCrabMeat.jpg?v=1686917257,images/fish/crab-meat-white-2.jpg,crab-meat-white
fish,Hand Picked White Crab Meat - 150g,24.00,GBP,https://nottinghillfishshop.co.uk/products/crab-meat-white,https://cdn.shopify.com/s/files/1/0348/5109/4661/files/CRAB_3fd9f76a-790e-428e-a5a5-457b9f477ce0.jpg?v=1686917278,images/fish/crab-meat-white-3.jpg,crab-meat-white
fish,Bluefin Tuna,22.00,GBP,https://nottinghillfishshop.co.uk/products/tuna-loin,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/d6bc862f-a521-439f-b930-82a5bfbefb96.jpg?v=1601634256,images/fish/tuna-loin-1.jpg,tuna-loin
fish,Bluefin Tuna,22.00,GBP,https://nottinghillfishshop.co.uk/products/tuna-loin,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/c7b6422e-3cf7-46e9-8b8c-85073a7ec342.jpg?v=1601634256,images/fish/tuna-loin-2.jpg,tuna-loin
fish,Wild Turbot Fillet,12.00,GBP,https://nottinghillfishshop.co.uk/products/turbot-fillet-200g,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/677e5ad3-e906-48da-a19d-34e0e03b7f76.jpg?v=1601630419,images/fish/turbot-fillet-200g-1.jpg,turbot-fillet-200g
fish,Wild Turbot Fillet,12.00,GBP,https://nottinghillfishshop.co.uk/products/turbot-fillet-200g,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/be2bfd41-a9c1-4cf6-8b86-4a64748f29af.jpg?v=1601630419,images/fish/turbot-fillet-200g-2.jpg,turbot-fillet-200g
fish,Wild Turbot Fillet,12.00,GBP,https://nottinghillfishshop.co.uk/products/turbot-fillet-200g,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/fcdcfe3a-76b3-4488-be24-f7372805ff60.jpg?v=1601630419,images/fish/turbot-fillet-200g-3.jpg,turbot-fillet-200g
fish,Large Tiger Prawns,6.00,GBP,https://nottinghillfishshop.co.uk/products/tiger-prawns,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/3f73c582-34ad-4aa7-bfad-31cbad780c5f.jpg?v=1601628177,images/fish/tiger-prawns-1.jpg,tiger-prawns
fish,Large Tiger Prawns,6.00,GBP,https://nottinghillfishshop.co.uk/products/tiger-prawns,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/f84043f1-6a18-41b3-a245-a7c939b6ed14.jpg?v=1601628177,images/fish/tiger-prawns-2.jpg,tiger-prawns
fish,Fresh Cleaned Squid,5.00,GBP,https://nottinghillfishshop.co.uk/products/squid,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/a0494576-090c-4e18-920f-b400dbe4ee3b.jpg?v=1601634125,images/fish/squid-1.jpg,squid
fish,Fresh Cleaned Squid,5.00,GBP,https://nottinghillfishshop.co.uk/products/squid,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/4262ceaf-2390-4e30-b1d9-bce9148da95d.jpg?v=1601634125,images/fish/squid-2.jpg,squid
fish,Side of Salmon - 1kg,41.00,GBP,https://nottinghillfishshop.co.uk/products/whole-side-of-salmon,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/9ba31c3b-cef5-4eb5-ae90-002a26137e48.jpg?v=1601634084,images/fish/whole-side-of-salmon-1.jpg,whole-side-of-salmon
fish,Side of Salmon - 1kg,41.00,GBP,https://nottinghillfishshop.co.uk/products/whole-side-of-salmon,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/56fd2d0c-e65b-4974-aa5a-c25bf2e25590.jpg?v=1601634084,images/fish/whole-side-of-salmon-2.jpg,whole-side-of-salmon
fish,Side of Salmon - 1kg,41.00,GBP,https://nottinghillfishshop.co.uk/products/whole-side-of-salmon,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/ef9a660e-6d4e-48ee-9363-7e1129e0ed7a.jpg?v=1601634084,images/fish/whole-side-of-salmon-3.jpg,whole-side-of-salmon
fish,Hand Dived Scallops,8.50,GBP,https://nottinghillfishshop.co.uk/products/fresh-scallops,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/74597a0e-64d6-40ba-a5c2-42c326249c0d.jpg?v=1601628161,images/fish/fresh-scallops-1.jpg,fresh-scallops
fish,Oysters,1.75,GBP,https://nottinghillfishshop.co.uk/products/maldon-rock-oysters,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/d7546b0f-296d-4ecf-9739-79db57f7f048.jpg?v=1601628145,images/fish/maldon-rock-oysters-1.jpg,maldon-rock-oysters
fish,Oysters,1.75,GBP,https://nottinghillfishshop.co.uk/products/maldon-rock-oysters,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/367240cd-70b2-48f4-ade7-7fba34efd618.jpg?v=1601628145,images/fish/maldon-rock-oysters-2.jpg,maldon-rock-oysters
fish,Whole Wild Seabass,40.00,GBP,https://nottinghillfishshop.co.uk/products/whole-seabass,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/f6ad66f4-47ca-4051-977e-fc8286072399_84b32f00-e98c-43e7-8056-361dcf46e588.jpg?v=1601634053,images/fish/whole-seabass-1.jpg,whole-seabass
fish,Whole Wild Seabass,40.00,GBP,https://nottinghillfishshop.co.uk/products/whole-seabass,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/40cd9b87-3f7a-4077-9787-1b614c620398_59b3ba75-129d-4fe6-b9cc-7fe495de0f0e.jpg?v=1601634053,images/fish/whole-seabass-2.jpg,whole-seabass
fish,Whole Wild Seabass,40.00,GBP,https://nottinghillfishshop.co.uk/products/whole-seabass,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/70a195b4-e76b-4cbb-8190-519af4d3f310_1a567d94-a73d-4f92-a8f0-56025030026f.jpg?v=1601634053,images/fish/whole-seabass-3.jpg,whole-seabass
fish,Wild Monkfish Fillet,6.80,GBP,https://nottinghillfishshop.co.uk/products/wild-monkfish-fillet-various-sizes,https://cdn.shopify.com/s/files/1/0348/5109/4661/products/e680318a-544a-4559-8be9-ac4232aa62a2.jpg?v=1601630378,images/fish/wild-monkfish-fillet-various-sizes-1.jpg,wild-monkfish-fillet-various-sizes
